SIPP,PickupDateFrom,PickupLocationCode,Duration,CurrentSellPrice,Netrate
CDAR,4/09/2023,Porto Airport,27,31.07,25.8
CDAR,4/09/2023,Porto Airport,16,31.07,21
CDAR,4/09/2023,Porto Airport,4,32.71,16
CDAR,4/09/2023,Porto Airport,15,31.07,21
DDMR,5/09/2023,Porto Airport,28,18.1,17.6
DDMR,5/09/2023,Porto Airport,22,18.1,16.8
DDMR,6/09/2023,Porto Airport,31,18.26,17.6
DDMR,5/09/2023,Porto Airport,13,17.42,12
DDMR,5/09/2023,Porto Airport,18,18.1,16.1
DDMR,5/09/2023,Porto Airport,31,18.1,17.6
DDMR,5/09/2023,Porto Airport,6,20.68,12.3
DDMR,5/09/2023,Porto Airport,14,18.1,12
DDMR,6/09/2023,Porto Airport,6,19.84,12.3
CDAR,4/09/2023,Porto Airport,8,32.7,16.5
MDMR,4/09/2023,Porto Airport,22,14.61,9
MDMR,4/09/2023,Porto Airport,3,16.71,8.1
MDMR,4/09/2023,Porto Airport,23,14.61,9
MDMR,4/09/2023,Porto Airport,13,14.82,6.8
MDMR,4/09/2023,Porto Airport,29,14.61,12.6
MDMR,4/09/2023,Porto Airport,17,14.61,8.6
MDMR,4/09/2023,Porto Airport,9,14.82,6.8
MDMR,4/09/2023,Porto Airport,21,14.61,9
MDMR,4/09/2023,Porto Airport,8,14.82,6.8
MDMR,4/09/2023,Porto Airport,11,14.82,6.8
MDMR,4/09/2023,Porto Airport,7,14.82,7.3
MDMR,4/09/2023,Porto Airport,18,14.61,8.6
MDMR,4/09/2023,Porto Airport,30,14.61,12.6
MDMR,4/09/2023,Porto Airport,1,27.02,8.1
MDMR,4/09/2023,Porto Airport,26,14.61,9
MDMR,4/09/2023,Porto Airport,2,27.02,8.1
MDMR,3/09/2023,Porto Airport,25,14.69,9
MDMR,3/09/2023,Porto Airport,16,14.69,8.6
HDMR,22/09/2023,Porto Airport,17,14.36,8.8
MCMR,22/09/2023,Porto Airport,17,14.16,8.4
MDMR,4/09/2023,Porto Airport,4,16.71,7.3
MDMR,4/09/2023,Porto Airport,19,14.61,8.6
MDMR,4/09/2023,Porto Airport,14,14.61,6.8
MDMR,4/09/2023,Porto Airport,6,18.86,7.3
MDMR,4/09/2023,Porto Airport,28,14.61,12.6
MDMR,4/09/2023,Porto Airport,24,14.61,9
MDMR,3/09/2023,Porto Airport,12,14.33,6.8
MDMR,3/09/2023,Porto Airport,10,14.33,6.8
MDMR,3/09/2023,Porto Airport,31,14.69,12.6
MDMR,3/09/2023,Porto Airport,27,14.69,9
CGMR,4/09/2023,Porto Airport,21,17.71,17.3
CGAR,6/09/2023,Porto Airport,2,71.44,18.8
CDAR,3/09/2023,Porto Airport,5,47,16
CDAR,3/09/2023,Porto Airport,30,38.58,26
CDAR,3/09/2023,Porto Airport,12,44.39,16.5
CDAR,3/09/2023,Porto Airport,31,38.58,26
CDAR,3/09/2023,Porto Airport,10,44.39,16.5
CGAR,6/09/2023,Porto Airport,6,47.46,16.5
CGAR,6/09/2023,Porto Airport,15,36.98,21.5
CGAR,6/09/2023,Porto Airport,31,36.98,26.8
CGAR,6/09/2023,Porto Airport,28,36.98,26.8
CGAR,6/09/2023,Porto Airport,13,42.38,17
CGAR,6/09/2023,Porto Airport,27,36.98,26.3
CDAR,3/09/2023,Porto Airport,6,47,16
CDAR,3/09/2023,Porto Airport,21,38.58,25.8
CDAR,3/09/2023,Porto Airport,28,38.58,26
CDAR,3/09/2023,Porto Airport,11,44.39,16.5
CDAR,3/09/2023,Porto Airport,18,38.58,21
CDAR,3/09/2023,Porto Airport,13,44.39,16.5
CDAR,3/09/2023,Porto Airport,7,44.39,16
CDAR,3/09/2023,Porto Airport,1,70.01,18.3
CDAR,3/09/2023,Porto Airport,19,38.58,21
CDAR,3/09/2023,Porto Airport,3,46.91,18.3
CGMR,4/09/2023,Porto Airport,23,17.71,17.3
CGMR,4/09/2023,Porto Airport,19,17.71,15.8
CGMR,4/09/2023,Porto Airport,1,30.12,13.4
CGMR,4/09/2023,Porto Airport,2,30.12,13.4
CGMR,4/09/2023,Porto Airport,26,17.71,17.3
CGMR,4/09/2023,Porto Airport,8,17.92,13.8
CGMR,4/09/2023,Porto Airport,22,17.71,17.3
CGMR,4/09/2023,Porto Airport,24,17.71,17.3
SFMR,9/09/2023,Porto Airport,9,21.38,16.6
MDMR,5/09/2023,Porto Airport,8,14.82,6.8
MDMR,5/09/2023,Porto Airport,11,14.82,6.8
MDMR,5/09/2023,Porto Airport,7,14.82,7.3
MDMR,5/09/2023,Porto Airport,18,15.5,8.6
MDMR,5/09/2023,Porto Airport,30,15.5,12.6
MDMR,5/09/2023,Porto Airport,1,27.02,8.1
MDMR,5/09/2023,Porto Airport,26,15.5,9
MDMR,5/09/2023,Porto Airport,2,27.02,8.1
MDMR,5/09/2023,Porto Airport,4,17.71,7.3
SFMR,5/09/2023,Porto Airport,1,36.14,16.1
SFMR,5/09/2023,Porto Airport,24,22.32,20.8
SFMR,5/09/2023,Porto Airport,3,24.97,16.1
SFMR,5/09/2023,Porto Airport,21,22.32,20.8
CGAR,5/09/2023,Porto Airport,19,33.2,21.5
CGAR,5/09/2023,Porto Airport,9,33.2,17
CGAR,5/09/2023,Porto Airport,3,35.38,18.8
CGAR,5/09/2023,Porto Airport,21,33.2,26.3
CGAR,5/09/2023,Porto Airport,4,35.38,16.5
CGAR,5/09/2023,Porto Airport,23,33.2,26.3
CGAR,5/09/2023,Porto Airport,25,33.2,26.3
CGAR,5/09/2023,Porto Airport,22,33.2,26.3
DDMR,5/09/2023,Porto Airport,24,18.1,16.8
CWMR,6/09/2023,Porto Airport,27,22.32,22.3
CWMR,6/09/2023,Porto Airport,26,22.32,22.3
CWMR,6/09/2023,Porto Airport,1,50.78,22
CWMR,6/09/2023,Porto Airport,3,33.23,22
CWMR,6/09/2023,Porto Airport,29,22.32,24.3
CWMR,6/09/2023,Porto Airport,12,26.24,18
CWMR,6/09/2023,Porto Airport,17,22.32,23
CWMR,6/09/2023,Porto Airport,4,33.23,17.5
CDAR,4/09/2023,Porto Airport,20,31.07,21
CGAR,9/09/2023,Porto Airport,12,28.88,17
CDAR,4/09/2023,Porto Airport,5,37.13,16
CDAR,4/09/2023,Porto Airport,30,31.07,26
CDAR,4/09/2023,Porto Airport,12,32.7,16.5
CDAR,4/09/2023,Porto Airport,31,31.07,26
CDAR,4/09/2023,Porto Airport,10,32.7,16.5
CDAR,4/09/2023,Porto Airport,6,37.13,16
CGAR,9/09/2023,Porto Airport,29,31.57,26.8
CDAR,5/09/2023,Porto Airport,17,32.7,21
CDAR,5/09/2023,Porto Airport,23,32.7,25.8
CDAR,5/09/2023,Porto Airport,14,32.7,16.5
DDMR,5/09/2023,Porto Airport,19,18.1,16.1
DDMR,5/09/2023,Porto Airport,25,18.1,16.8
DDMR,5/09/2023,Porto Airport,3,20.31,12.8
DDMR,5/09/2023,Porto Airport,5,20.68,12.3
DDMR,5/09/2023,Porto Airport,27,18.1,16.8
DDMR,5/09/2023,Porto Airport,11,17.42,12
DDMR,5/09/2023,Porto Airport,4,20.31,12.3
MCMR,3/09/2023,Porto Airport,11,14.23,6.6
MCMR,3/09/2023,Porto Airport,26,14.59,8.7
MCMR,3/09/2023,Porto Airport,19,14.59,8.4
MCMR,3/09/2023,Porto Airport,28,14.59,11.7
MCMR,3/09/2023,Porto Airport,10,14.23,6.6
MCMR,3/09/2023,Porto Airport,31,14.59,11.7
MCMR,3/09/2023,Porto Airport,3,17.18,7.9
MCMR,3/09/2023,Porto Airport,5,16.56,7
MCMR,3/09/2023,Porto Airport,14,14.59,6.6
MCMR,3/09/2023,Porto Airport,12,14.23,6.6
DDMR,5/09/2023,Porto Airport,1,29.62,12.8
CGMR,5/09/2023,Porto Airport,13,17.92,13.8
MDMR,6/09/2023,Porto Airport,12,14.33,6.8
MDMR,6/09/2023,Porto Airport,10,14.33,6.8
MDMR,6/09/2023,Porto Airport,31,15.66,12.6
MDMR,6/09/2023,Porto Airport,27,15.66,9
MDMR,6/09/2023,Porto Airport,20,15.66,8.6
MDMR,6/09/2023,Porto Airport,15,15.66,8.6
SFMR,6/09/2023,Porto Airport,14,22.51,16.6
SFMR,6/09/2023,Porto Airport,20,22.51,19
SFMR,6/09/2023,Porto Airport,8,20.92,16.6
SFMR,6/09/2023,Porto Airport,12,20.92,16.6
SFMR,6/09/2023,Porto Airport,26,22.51,20.8
SFMR,6/09/2023,Porto Airport,5,24.41,16
SFMR,6/09/2023,Porto Airport,17,22.51,19
SFMR,6/09/2023,Porto Airport,9,20.92,16.6
SFMR,6/09/2023,Porto Airport,23,22.51,20.8
SFMR,11/09/2023,Porto Airport,19,22.51,19
CGAR,3/09/2023,Porto Airport,18,39.08,21.5
CGAR,3/09/2023,Porto Airport,5,47.5,16.5
CGAR,3/09/2023,Porto Airport,1,70.51,18.8
CGAR,3/09/2023,Porto Airport,20,39.08,21.5
CGAR,3/09/2023,Porto Airport,7,44.89,16.5
CGAR,3/09/2023,Porto Airport,26,39.08,26.3
CGAR,4/09/2023,Porto Airport,13,33.2,17
CGAR,4/09/2023,Porto Airport,27,31.57,26.3
CGAR,4/09/2023,Porto Airport,17,31.57,21.5
CGAR,4/09/2023,Porto Airport,16,31.57,21.5
