selection1_name,selection1_url,selection1_address,selection1_date,selection1_Category
Coastal Assault 2023,https://www.eventfinda.co.nz/2023/coastal-assault-20232/auckland/whangaparaoa-peninsula,"Parāoa Brewing Co., Whangaparaoa Peninsula, Auckland",Sun 7 May 1:00pm,Wrestling
South Auckland Choral Choir - 'Show-Stoppers' Concert,https://www.eventfinda.co.nz/2023/south-auckland-choral-choir-show-stoppers-concert/auckland/papakura,"Crossroads Methodist Church, Papakura, Auckland",Sun 7 May 2:30pm,"Choir, Vocal Music"
Yoga and Art Immersion,https://www.eventfinda.co.nz/2023/yoga-and-art-immersion/auckland,"Auckland Art Gallery Toi o Tāmaki, CBD, Auckland",Sun 7 May 9:00am,Mind & Body
Contemporary Colour workshop,https://www.eventfinda.co.nz/2023/contemporary-colour-workshop/auckland/kumeu,"Kumeu Arts Centre, Kumeu, Auckland",Sun 7 May 10:00am,Education
International Comedy All-Stars at The Churchill,https://www.eventfinda.co.nz/2023/international-comedy-all-stars/auckland,"The Churchill, CBD, Auckland",Sun 7 May 6:30pm,Comedy
Auckland Eastern Market,https://www.eventfinda.co.nz/2023/auckland-eastern-market/auckland/st-johns,"Auckland Netball Centre, St Johns, Auckland",Sun 7 May 7:00am,Festivals
He Rā Rākau Tītapu – King Charles III Coronation Plantings,https://www.eventfinda.co.nz/2023/he-ra-rakau-titapu-king-charles-iii-coronation-plantings/auckland/grafton,"Auckland Domain, Grafton, Auckland",Sun 7 May 1:00pm,Family Entertainment
Coatesville Market,https://www.eventfinda.co.nz/2022/coatesville-market/auckland/coatesville,"Coatesville Settlers Hall, Coatesville, Auckland",Sun 7 May 10:00am,Markets and Fairs
5 Wheel Drive,https://www.eventfinda.co.nz/2023/5-wheel-drive/auckland/huapai,"Huapai Tavern, Huapai, Auckland",Sun 7 May 3:00pm,Rock
Barfoot & Thompson People's Tri - Race 4 Mission Bay,https://www.eventfinda.co.nz/2023/barfoot-thompson-peoples-tri-race-mission-bay/auckland/mission-bay,"Mission Bay Beach, Mission Bay, Auckland",Sun 7 May 8:00am,Triathlon
Wings for Life World Run,https://www.eventfinda.co.nz/2023/wings-for-life-world-run/auckland,"Westhaven Marina, CBD, Auckland",Sun 7 May 11:00pm,"Marathon, Running"
Harbour Voices Presents: the Creation By Joseph Haydn,https://www.eventfinda.co.nz/2023/harbour-voices-presents-the-creation-by-joseph-haydn/auckland/takapuna,"St Georges Presbyterian Church, Takapuna, Auckland",Sun 7 May 2:30pm,World
No Conformity,https://www.eventfinda.co.nz/2023/no-conformity/auckland/morningside,"Big Fan, Morningside, Auckland",Sun 7 May 6:00pm,Rock
Matt Joe Gow & Kerryn Fields - Your Heart of Gold,https://www.eventfinda.co.nz/2023/matt-joe-gow-kerryn-fields-your-heart-of-gold/auckland/hillsborough,"The Arts House Trust, Pah Homestead, Hillsborough, Auckland",Sun 7 May 5:00pm,Country
Manurewa Market,https://www.eventfinda.co.nz/2020/manurewa-market/auckland/manurewa,"Manurewa Market, Manurewa, Auckland",Sun 7 May 7:00am,Markets and Fairs
Free Sunday Yoga,https://www.eventfinda.co.nz/2023/free-sunday-yoga/auckland,"The Loft Yoga Lounge, CBD, Auckland",Sun 7 May 4:00pm,Festivals
Free Bubble Soccer in the Park - Allenby Park,https://www.eventfinda.co.nz/2023/bubble-soccer-in-the-park-allenby-park/auckland/manukau-city,"Allenby Park, Manukau City, Auckland",Sun 7 May 10:00am,"Games, Carnivals"
Gin School,https://www.eventfinda.co.nz/2023/gin-school/auckland/coatesville,"d:STIL Project, Coatesville, Auckland",Sun 7 May 11:00am,"Food, Gourmet, Wine"
Swanson Station Market,https://www.eventfinda.co.nz/2023/swanson-station-market/auckland/swanson,"Swanson Railway Station, Swanson, Auckland",Sun 7 May 7:00am,Markets and Fairs
Pollok Hall Market,https://www.eventfinda.co.nz/2023/pollok-hall-market/auckland/waiuku,"Pollok Hall, Waiuku, Auckland",Sun 7 May 9:00am,Markets and Fairs
The Fitz Quiz Night,https://www.eventfinda.co.nz/2023/the-fitz-quiz-night/auckland/ponsonby,"Fitzroy Lounge Bar, Ponsonby, Auckland",Sun 7 May 6:00pm,"Quiz, Karaoke"
The Village Square City Market,https://www.eventfinda.co.nz/2023/the-village-square-city-market/auckland,"Freyberg Square, CBD, Auckland",Sun 7 May 9:00am,Markets and Fairs
TVS City Market,https://www.eventfinda.co.nz/2023/tvs-city-market/auckland,"Ellen Melville Centre, CBD, Auckland",Sun 7 May 9:00am,Markets and Fairs
Mantra Night - Grey Lynn,https://www.eventfinda.co.nz/2023/mantra-night-grey-lynn/auckland/grey-lynn,"Grey Lynn Community Centre, Grey Lynn, Auckland",Sun 7 May 6:00pm,Mind & Body
Guided Walk: Trees as Bird Habitats,https://www.eventfinda.co.nz/2023/guided-walk-trees-as-bird-habitats/auckland/epsom,"Huia Lodge Discovery Hub, Epsom, Auckland",Sun 7 May 10:00am,Public Talks & Tours
Conference: New Horizons In Prostate Cancer Care,https://www.eventfinda.co.nz/2023/conference-new-horizons-in-prostate-cancer-care/auckland,"Grand Millennium Hotel, CBD, Auckland",Sun 7 May 8:00am,Education
Free 10 week Conversational Chinese Language Class,https://www.eventfinda.co.nz/2023/free-10-week-conversational-chinese-language-class/auckland/albany,"Albany Village Library, Albany, Auckland",Sun 7 May 10:00am,"Ethnic, Multicultural"
Fun Art Classes for Beginners - Hibiscus Coast,https://www.eventfinda.co.nz/2023/fun-art-classes-for-beginners-hibiscus-coast/auckland/whangaparaoa-peninsula,"Red Beach Surf Lifesaving Club, Whangaparaoa Peninsula, Auckland",Sun 7 May 1:30pm,Education
Make Days At the Maritime,https://www.eventfinda.co.nz/2023/make-days-at-the-maritime2/auckland,"New Zealand Maritime Museum, CBD, Auckland",Sun 7 May 10:00am,Family & Lifestyle
Candle Making Workshop,https://www.eventfinda.co.nz/2023/candle-making-workshop2/auckland/papakura,"Karaka Learning Centre, Papakura, Auckland",Sun 7 May 9:30am,Education
Sunday Morning Drawing,https://www.eventfinda.co.nz/2023/sunday-morning-drawing/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Sun 7 May 10:30am,Education
Sunday Pixel Art,https://www.eventfinda.co.nz/2023/sunday-pixel-art/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Sun 7 May 10:30am,Education
Sunday Afternoons 3D Art,https://www.eventfinda.co.nz/2023/sunday-afternoons-3d-art/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Sun 7 May 12:30pm,Education
Sunday Dynamic Drawing,https://www.eventfinda.co.nz/2023/sunday-dynamic-drawing/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Sun 7 May 12:30pm,Education
Capoeira Angola Classes,https://www.eventfinda.co.nz/2023/capoeira-angola-classes/auckland/hobsonville,"Hobsonville Point Primary School, Hobsonville, Auckland",Mon 8 May 7:00pm,Martial Arts
Auckland Dating Workshop,https://www.eventfinda.co.nz/2023/auckland-dating-workshop2/auckland/ponsonby,"The Crib, Ponsonby, Auckland",Mon 8 May 11:00am,Education
Happy Hour Hot Yoga,https://www.eventfinda.co.nz/2023/happy-hour-hot-yoga10/auckland,"Hot Yoga Works Britomart, CBD, Auckland",Mon 8 May 9:30am,Mind & Body
Service Foods' Trade Shows 2023,https://www.eventfinda.co.nz/2023/service-foods-trade-shows-2023/auckland/manukau-city,"Sir Noel Robinson Conference Centre, Manukau City, Auckland",Mon 8 May 1:00pm,"Food, Gourmet, Wine"
The Big Bike Film Night - Devonport,https://www.eventfinda.co.nz/2023/the-big-bike-film-night-devonport/auckland/devonport,"The Vic Theatre Devonport, Devonport, Auckland",Mon 8 May 7:30pm,Cycling
Auckland Film Society – Will Success Spoil Rock Hunter?,https://www.eventfinda.co.nz/2023/auckland-film-society-will-success-spoil-rock-hunter/auckland,"Academy Cinemas, CBD, Auckland",Mon 8 May 6:15pm,Film
Commercial Dance Class 16+ Int-Adv.,https://www.eventfinda.co.nz/2023/commercial-dance-class-16-int-adv2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Mon 8 May 6:00pm,Dance
Kids Capoeira Classes Term 2,https://www.eventfinda.co.nz/2023/kids-capoeira-classes-term-2/auckland/remuera,"Victoria Avenue Primary School, Remuera, Auckland",Mon 8 May 6:10pm,Martial Arts
Auckland Live Morning Melodies 2023,https://www.eventfinda.co.nz/2023/auckland-live-morning-melodies-2023/auckland/takapuna,"Bruce Mason Centre, Takapuna, Auckland",Mon 8 May 11:00am,Variety Concerts
Comedy Pub Quiz in Ponsonby,https://www.eventfinda.co.nz/2023/comedy-pub-quiz-in-ponsonby/auckland/ponsonby,"The Cav, Ponsonby, Auckland",Mon 8 May 7:30pm,"Quiz, Karaoke"
CAP Money Course,https://www.eventfinda.co.nz/2023/cap-money-course/auckland/mt-albert,"Mt Albert Baptist Church, Mt Albert, Auckland",Mon 8 May 7:00pm,Education
Monday Afternoon Clay Making,https://www.eventfinda.co.nz/2023/monday-afternoon-clay-making/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 12:00pm,Education
Monday Evening Clay Making,https://www.eventfinda.co.nz/2023/monday-evening-clay-making/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 7:00pm,Education
Monday Contemporary Pictorial and Abstract Art,https://www.eventfinda.co.nz/2023/monday-contemporary-pictorial-and-abstract-art/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 9:30am,Education
Monday Foundations of Painting and Drawing,https://www.eventfinda.co.nz/2023/monday-foundations-of-painting-and-drawing/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 9:30am,Education
Monday Expressive Acrylics,https://www.eventfinda.co.nz/2023/monday-expressive-acrylics/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 1:00pm,Education
Monday Illustration Studio,https://www.eventfinda.co.nz/2023/monday-illustration-studio/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 4:30pm,Education
Monday Introduction to 3D Art,https://www.eventfinda.co.nz/2023/monday-introduction-to-3d-art/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 4:30pm,Education
Monday Introduction to Drawing & Watercolour,https://www.eventfinda.co.nz/2023/monday-introduction-to-drawing-watercolour/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Mon 8 May 4:30pm,Education
Weekly Drama Classes (Ages 5-16) - Tim Bray Youth Theatre,https://www.eventfinda.co.nz/2023/weekly-drama-classes-ages-5-16-tim-bray-youth-theatre2/auckland/western-springs,"TAPAC , Western Springs, Auckland",Mon 8 May 4:00pm,Education
Professional Acting Classes for 2023: Teens & Adult classes,https://www.eventfinda.co.nz/2023/professional-acting-classes-for-2023-teens-adult-classes/auckland/pakuranga,"Howick Little Theatre, Pakuranga, Auckland",Mon 8 May 4:30pm,Education
Slice of Funny - Comedy & Pizza,https://www.eventfinda.co.nz/2023/slice-of-funny-comedy-pizza3/auckland,"Il Brutto, CBD, Auckland",Tue 9 May 7:30pm,Comedy
The Worm,https://www.eventfinda.co.nz/2023/the-worm/auckland/manukau-city,"BNZ Theatre at Due Drop Events Centre, Manukau City, Auckland",Tue 9 May 6:30pm,Musicals
Comedy On The Rocks,https://www.eventfinda.co.nz/2023/comedy-on-the-rocks/auckland/long-bay,"On The Rocks, Milford, Long Bay, Auckland",Tue 9 May 7:30pm,Comedy
Justine Smith (NZ) in 'Actually I'm A Cat Person',https://www.eventfinda.co.nz/2023/justine-smith-nz-in-actually-im-cat-person/auckland,"The Classic Comedy Club, CBD, Auckland",Tue 9 May 8:30pm,Comedy
Ray Bradshaw (Scotland) in 'Deaf Comedy Fam',https://www.eventfinda.co.nz/2023/ray-bradshaw-scotland-in-deaf-comedy-fam/auckland,"The Classic Comedy Club, CBD, Auckland",Tue 9 May 7:00pm,Comedy
Fitz Of Laughter- Fitzroy Comedy Showcase,https://www.eventfinda.co.nz/2023/fitz-of-laughter-fitzroy-comedy-showcase6/auckland/ponsonby,"Fitzroy Lounge Bar, Ponsonby, Auckland",Tue 9 May 7:45pm,Comedy
Laura Davis (Aust) in 'Well Don't Just Stand There Dancing',https://www.eventfinda.co.nz/2023/laura-davis-aust-in-well-dont-just-stand-there-dancing/auckland,"The Classic Comedy Club - Studio, CBD, Auckland",Tue 9 May 8:45pm,Comedy
Little Ninja Kids Classes (Yellow Belt),https://www.eventfinda.co.nz/2023/little-ninja-kids-classes-yellow-belt2/auckland/northcote,"SPARTAFIT, Northcote, Auckland",Tue 9 May 4:15pm,Martial Arts
Markus Birdman (England) In His Highly Acclaimed New Show,https://www.eventfinda.co.nz/2023/markus-birdman-england-in-his-highly-acclaimed-new-show/auckland,"The Classic Comedy Club - Studio, CBD, Auckland",Tue 9 May 7:15pm,Comedy
Polite Society,https://www.eventfinda.co.nz/2023/polite-society/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Tue 9 May 7:30pm,Film
Triangle of Sadness: CANCELLED,https://www.eventfinda.co.nz/2023/triangle-of-sadness/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Tue 9 May 7:30pm,Film
"""Hi, I am Atheist"" - Roleplay Workshop On Faith/Belief",https://www.eventfinda.co.nz/2023/hi-am-atheist-roleplay-workshop-on-faith-belief/auckland,"Catholic Theological College - Te Kupenga, Ponsonby, Auckland",Tue 9 May 7:00pm,Education
Eye Institute May Seminar 2023,https://www.eventfinda.co.nz/2023/eye-institute-may-seminar-2023/auckland/orakei,"Hyundai Marine Sports Centre, Orakei, Auckland",Tue 9 May 5:30pm,Business & Professional
Diploma in Professional Scuba Instruction,https://www.eventfinda.co.nz/2022/diploma-in-professional-scuba-instruction/auckland/mt-roskill,"DIve HQ Auckland, Academy of Scuba, Mt Roskil, Mt Roskill, Auckland",Tue 9 May 9:00am,"Adventure, Extreme"
Wu-Tang Clan & Nas | NY State of Mind Tour,https://www.eventfinda.co.nz/2023/wu-tang-clan-nas-ny-state-of-mind-tour/auckland,"Spark Arena, CBD, Auckland",Tue 9 May 7:00pm,"Hip Hop, Rap"
Don Mclean - The Day The Music Died Tour,https://www.eventfinda.co.nz/2023/don-mclean-the-day-the-music-died-tour/auckland,"Auckland Town Hall - Great Hall, CBD, Auckland",Tue 9 May 7:00pm,Classic Rock
Wu-Tang Clan & Nas | NY State of Mind Tour,https://www.eventfinda.co.nz/2023/wu-tang-clan-nas-ny-state-of-mind-tour2/auckland,"Spark Arena, CBD, Auckland",Tue 9 May 7:00pm,"Hip Hop, Rap"
Eve Kelly,https://www.eventfinda.co.nz/2023/eve-kelly/auckland/pt-chevalier,"Pt Chevalier RSA, Pt Chevalier, Auckland",Tue 9 May 7:30pm,Jazz
German Short Film Night - Auckland,https://www.eventfinda.co.nz/2023/german-short-film-night-auckland/auckland/kingsland,"The Kingslander, Kingsland, Auckland",Tue 9 May 7:00pm,Film
Adult Lyrical Beg-Adv Levels,https://www.eventfinda.co.nz/2023/adult-lyrical-beg-adv-levels/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 8:00pm,Dance
Contemporary Ballet Open Class,https://www.eventfinda.co.nz/2023/contemporary-ballet-open-class/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 6:00pm,Dance
Heels Sultry Dance Class 16+ Int-Adv.,https://www.eventfinda.co.nz/2023/heels-sultry-dance-class-16-int-adv2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 7:00pm,Dance
Adult Lyrical Beg-Adv Levels,https://www.eventfinda.co.nz/2023/adult-lyrical-beg-adv-levels2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 8:00pm,Dance
Cabaret Fusion Dance Class 16+ Open Class,https://www.eventfinda.co.nz/2023/cabaret-fusion-16/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 6:00pm,Dance
Contemporary Ballet Open Class,https://www.eventfinda.co.nz/2023/contemporary-ballet-open-class2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 6:00pm,Dance
The Big Show 2023,https://www.eventfinda.co.nz/2023/the-big-show-2023/auckland,"Q Theatre, CBD, Auckland",Tue 9 May 8:30pm,Comedy
Hayley Sproull in Ailments,https://www.eventfinda.co.nz/2023/hayley-sproull-in-ailments/auckland,"Q Theatre, CBD, Auckland",Tue 9 May 6:30pm,Comedy
David Correos Topsy Turvey | Auckland,https://www.eventfinda.co.nz/2023/david-correos-topsy-turvey-auckland/auckland,"Basement Theatre, CBD, Auckland",Tue 9 May 8:00pm,Comedy
Jazz Funk / Commercial Dance Class 9-12yrs,https://www.eventfinda.co.nz/2023/jazz-funk-commercial-dance-class-9-12yrs4/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 3:30pm,Dance
Cheer and Pom Dance 7-13yrs,https://www.eventfinda.co.nz/2023/cheer-and-pom-dance-7-13yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 4:45pm,Dance
Jazz Funk / Commercial Dance Class 9-12yrs,https://www.eventfinda.co.nz/2023/jazz-funk-commercial-dance-class-9-12yrs3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 3:30pm,Dance
Ballet Contemporary Dance Class 9-12yrs,https://www.eventfinda.co.nz/2023/ballet-contemporary-dance-class-9-12yrs3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 3:30pm,Dance
Ballet Contemporary Dance Class 9-12yrs,https://www.eventfinda.co.nz/2023/ballet-contemporary-dance-class-9-12yrs4/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 3:30pm,Dance
Contemporary Dance 10-15yrs,https://www.eventfinda.co.nz/2023/contemporary-dance-10-15yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 5:00pm,Dance
Lyrical Dance Class 8-11yrs,https://www.eventfinda.co.nz/2023/lyrical-dance-class-8-11yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 4:15pm,Dance
Lyrical Dance Class 11-15yrs,https://www.eventfinda.co.nz/2023/lyrical-dance-class-11-15yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 4:15pm,Dance
Acro Jazz Dance & Tumbling Class 7-13yrs,https://www.eventfinda.co.nz/2023/acro-jazz-dance-tumbling-class-7-13yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tue 9 May 5:00pm,Dance
The Birdcage Tavern Quiz Night,https://www.eventfinda.co.nz/2023/the-birdcage-tavern-quiz-night/auckland/freemans-bay,"The Birdcage, Freemans Bay, Auckland",Tue 9 May 6:30pm,"Quiz, Karaoke"
Quiz,https://www.eventfinda.co.nz/2023/quiz/auckland/ponsonby,"Freeman & Grey, Ponsonby, Auckland",Tue 9 May 7:30pm,"Quiz, Karaoke"
Quiz Night with Donna Brookbanks,https://www.eventfinda.co.nz/2023/quiz-night-with-donna-brookbanks/auckland/henderson,"The Hangar Bar, Henderson, Auckland",Tue 9 May 7:00pm,"Quiz, Karaoke"
Quiz Night,https://www.eventfinda.co.nz/2023/quiz-night/auckland/ponsonby,"Revelry, Ponsonby, Auckland",Tue 9 May 7:00pm,"Quiz, Karaoke"
Quiz Night - Freeman & Grey,https://www.eventfinda.co.nz/2023/quiz-night-freeman-grey/auckland/ponsonby,"Freeman & Grey, Ponsonby, Auckland",Tue 9 May 7:30pm,"Quiz, Karaoke"
Drama Queens Dress Ups Make Believe and musical mayhem,https://www.eventfinda.co.nz/2023/drama-queens-dress-ups-make-believe-and-musical-mayhem/auckland/orakei,"Orakei Community Centre, Orakei, Auckland",Tue 9 May 10:00am,"Children, Kids, Holidays"
Quiz Night With Riggsy,https://www.eventfinda.co.nz/2023/quiz-night-with-riggsy/auckland/mt-eden,"The Bridgman, Mt Eden, Auckland",Tue 9 May 7:00pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Panmure,https://www.eventfinda.co.nz/2023/quiz-night-the-beer-spot-panmure/auckland/panmure,"The Beer Spot Panmure, Panmure, Auckland",Tue 9 May 6:30pm,"Quiz, Karaoke"
Churly's Brewpub Quiz Night,https://www.eventfinda.co.nz/2023/churlys-brewpub-quiz-night/auckland/mt-eden,"Churly's Brew Pub, Mt Eden, Auckland",Tue 9 May 7:00pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Huapai,https://www.eventfinda.co.nz/2023/quiz-night-the-beer-spot-huapai/auckland/huapai,"The Beer Spot, Huapai, Auckland",Tue 9 May 6:30pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Northcote,https://www.eventfinda.co.nz/2023/quiz-night-the-beer-spot-northcote/auckland/northcote,"The Beer Spot, Northcote, Auckland",Tue 9 May 6:30pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Morningside,https://www.eventfinda.co.nz/2023/quiz-night-the-beer-spot-morningside/auckland/morningside,"The Beer Spot Morningside, Morningside, Auckland",Tue 9 May 6:30pm,"Quiz, Karaoke"
Comedy Pub Quiz in Ellerslie,https://www.eventfinda.co.nz/2023/comedy-pub-quiz-in-ellerslie/auckland/ellerslie,"Doolan Brothers Ellerslie, Ellerslie, Auckland",Tue 9 May 7:30pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Whangaparaoa,https://www.eventfinda.co.nz/2023/quiz-night-the-beer-spot-whangaparaoa/auckland/whangaparaoa-peninsula,"The Beer Spot Whangaparaoa, Whangaparaoa Peninsula, Auckland",Tue 9 May 6:30pm,"Quiz, Karaoke"
Immersion - Yoga & Kirtan,https://www.eventfinda.co.nz/2023/immersion-yoga-kirtan/auckland/balmoral,"Mt Eden War Memorial Hall, Balmoral, Auckland",Tue 9 May 6:00pm,Mind & Body
Foundations Of Flow - Five Week Series,https://www.eventfinda.co.nz/2023/foundations-of-flow-five-week-series/auckland/hobsonville,"Kanuka Yoga Space, Hobsonville, Auckland",Tue 9 May 7:00pm,Mind & Body
Fun Art Classes for Beginners,https://www.eventfinda.co.nz/2023/fun-art-classes-for-beginners/auckland/takapuna,"North Shore Squash Club, Takapuna, Auckland",Tue 9 May 1:00pm,Education
Diabetes Prevention Study,https://www.eventfinda.co.nz/2023/diabetes-prevention-study/auckland/mt-eden,"Human Nutrition Unit, Mt Eden, Auckland",Tue 9 May 8:00am,Education
Bioengineering the Future,https://www.eventfinda.co.nz/2023/bioengineering-the-future/auckland,"The Cloud, CBD, Auckland",Tue 9 May 10:00am,Mind & Body
Book-A-Family History Librarian,https://www.eventfinda.co.nz/2023/book-a-family-history-librarian/auckland/henderson,"Waitakere Central Library, Henderson, Auckland",Tue 9 May 9:00am,Education
Tuesday Evening Clay Making,https://www.eventfinda.co.nz/2023/tuesday-evening-clay-making/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 7:00pm,Education
Tuesday Expressive Acrylics Evenings,https://www.eventfinda.co.nz/2023/tuesday-expressive-acrylics-evenings/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 7:00pm,Education
Tuesday Lively Sketching with Pen & Wash,https://www.eventfinda.co.nz/2023/tuesday-lively-sketching-with-pen-wash/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 9:15am,Education
Tuesday Afternoon Clay Making,https://www.eventfinda.co.nz/2023/tuesday-afternoon-clay-making/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 12:00pm,Education
Tuesday Expressive Portraits,https://www.eventfinda.co.nz/2023/tuesday-expressive-portraits/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 4:30pm,Education
Tuesday Introduction to Clay,https://www.eventfinda.co.nz/2023/tuesday-introduction-to-clay/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 4:30pm,Education
Women's Wellbeing Circle: CANCELLED,https://www.eventfinda.co.nz/2023/womens-wellbeing-circle/auckland,"The Women's Centre, Warkworth, Auckland",Tue 9 May 6:00pm,Mind & Body
Women's Song Circle: CANCELLED,https://www.eventfinda.co.nz/2023/womens-song-circle/auckland/warkworth,"The Women's Centre, Warkworth, Auckland",Tue 9 May 7:30pm,Mind & Body
Tuesday Advanced Watercolours,https://www.eventfinda.co.nz/2023/tuesday-advanced-watercolours/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 1:00pm,Education
Tuesday Intermediate Painting,https://www.eventfinda.co.nz/2023/tuesday-intermediate-painting/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 4:30pm,Education
Tuesday Let's Draw & Paint,https://www.eventfinda.co.nz/2023/tuesday-lets-draw-paint/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tue 9 May 4:30pm,Education
Weekly Drama Classes (Ages 8-13) - Tim Bray Youth Theatre,https://www.eventfinda.co.nz/2023/weekly-drama-classes-ages-8-13-tim-bray-youth-theatre2/auckland/western-springs,"TAPAC , Western Springs, Auckland",Tue 9 May 5:00pm,Education
Drama Classes for Autistic & Neurodivergent Children & Teens,https://www.eventfinda.co.nz/2023/drama-classes-for-autistic-neurodivergent-children-teens/auckland/rosedale,"Meadowood Community House, Rosedale, Auckland",Tue 9 May 4:00pm,Education
Children’s 1-Hour Acting Classes for 2023 - Leading Tutor,https://www.eventfinda.co.nz/2023/childrenrs-1-hour-acting-classes-for-2023-leading-tutor/auckland/pakuranga,"Howick Little Theatre, Pakuranga, Auckland",Tue 9 May 4:00pm,Education
Beam Me Up,https://www.eventfinda.co.nz/2023/beam-me-up2/auckland/ponsonby,"Covert Theatre, Ponsonby, Auckland",Wed 10 May 7:00pm,Theatre
BiG Wednesday - Late & Live Comedyfest Edition,https://www.eventfinda.co.nz/2023/big-wednesday-late-live-comedyfest-edition/auckland,"The Classic Comedy Club, CBD, Auckland",Wed 10 May 10:00pm,Comedy
The Remarkable Case of...,https://www.eventfinda.co.nz/2023/the-remarkable-case-of2/auckland/ponsonby,"Covert Theatre, Ponsonby, Auckland",Wed 10 May 8:30pm,Theatre
Improv Magic,https://www.eventfinda.co.nz/2023/improv-magic4/auckland/ponsonby,"Covert Theatre, Ponsonby, Auckland",Wed 10 May 10:00pm,Theatre
Creative Jazz Club: Jamie Pye Quartet (Melbourne/Wellington),https://www.eventfinda.co.nz/2023/creative-jazz-club-jamie-pye-quartet-melbourne-wellington/auckland,"Anthology Lounge, CBD, Auckland",Wed 10 May 8:00pm,Jazz
The Comedy Club - Pukekohe,https://www.eventfinda.co.nz/2023/the-comedy-club/auckland,"Charleston’s Restaurant & Bar, Pukekohe, Auckland",Wed 10 May 7:30pm,Comedy
Clay Play with Modeletto and The Village,https://www.eventfinda.co.nz/2023/pottery-with-modeletto-and-the-village/auckland/herne-bay,"The Village NZ, Herne Bay, Auckland",Wed 10 May 7:00pm,Education
Auckland Glow in the Dark Paint and Wine Party - Moon Shadow,https://www.eventfinda.co.nz/2023/auckland-glow-in-the-dark-paint-and-wine-party-moon-shadow/auckland,"Saturdays Britomart, CBD, Auckland",Wed 10 May 7:00pm,"Food, Gourmet, Wine"
Auckland Paint and Wine Night - Kea,https://www.eventfinda.co.nz/2023/auckland-paint-and-wine-night-kea/auckland/freemans-bay,"Sweat Shop Brew Kitchen, Freemans Bay, Auckland",Wed 10 May 7:00pm,"Food, Gourmet, Wine"
