selection1_name,selection1_url,selection1_address,selection1_date,selection1_Category
Jazz Funk Dance Class 8-10yrs,https://www.eventfinda.co.nz/2023/jazz-funk-dance-class-8-10yrs3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:00pm,Dance
Junior Ballet Dance Class 7-9yrs,https://www.eventfinda.co.nz/2023/junior-ballet-dance-class-7-9yrs3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:45pm,Dance
Lyrical Dance Class 5-7yrs,https://www.eventfinda.co.nz/2023/lyrical-dance-class-5-7yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:45pm,Dance
Quiz Nights At Our Land Is Alive,https://www.eventfinda.co.nz/2023/quiz-nights-at-cordis/auckland,"Cordis Auckland, CBD, Auckland",Today 6:30pm,"Quiz, Karaoke"
Counties Chess Club Incorporated,https://www.eventfinda.co.nz/2023/counties-chess-club-incorporated/auckland/mauku,"Mauku Victory Hall, Mauku, Auckland",Today 6:30pm,"Games, Carnivals"
Te Reo Tino - The Ultimate Voice,https://www.eventfinda.co.nz/2023/te-reo-tino-the-ultimate-voice/auckland/manurewa,"Crates n Cues, Manurewa, Auckland",Today 7:00pm,Bar DJs
Witi's Wāhine,https://www.eventfinda.co.nz/2023/witis-wahine/auckland,"ASB Waterfront Theatre, CBD, Auckland",Today 7:00pm,Theatre
The Project - TV Studio Audience Wanted,https://www.eventfinda.co.nz/2023/the-project-tv-studio-audience-wanted4/auckland/eden-terrace,"The Project Studio, Eden Terrace, Auckland",Today 6:30pm,Film
Quiz Night Mt Eden,https://www.eventfinda.co.nz/2023/quiz-night-mt-eden/auckland/mt-eden,"Brothers Beer & Juke Joint BBQ, Mt Eden, Auckland",Today 7:00pm,"Quiz, Karaoke"
Quiz Night - Onehunga,https://www.eventfinda.co.nz/2023/quiz-night-onehunga/auckland,"Brothers Beer & Juke Joint BBQ Onehunga, Onehunga, Auckland",Today 7:00pm,"Quiz, Karaoke"
Quiz Night - Ōrākei Bay Village,https://www.eventfinda.co.nz/2023/quiz-night-orakei-bay-village/auckland/orakei,"Brothers Beer & Juke Joint BBQ, Orakei, Auckland",Today 7:00pm,"Quiz, Karaoke"
Quiz Night at Good Home Lincoln,https://www.eventfinda.co.nz/2023/quiz-night-at-good-home-lincoln/auckland/henderson,"The Good Home , Henderson, Auckland",Today 6:30pm,"Quiz, Karaoke"
Comedy Quiz at The Portland Kingsland,https://www.eventfinda.co.nz/2023/comedy-quiz-at-the-portland-kingsland/auckland/kingsland,"The Portland Public House, Kingsland, Auckland",Today 7:30pm,"Quiz, Karaoke"
Comedy Quiz at Holey Moley,https://www.eventfinda.co.nz/2023/comedy-quiz-at-holey-moley/auckland,"Holey Moley Bar, CBD, Auckland",Today 7:00pm,"Quiz, Karaoke"
Quiz Night - Little Creatures,https://www.eventfinda.co.nz/2023/quiz-night-little-creatures/auckland/hobsonville,"Little Creatures Brewing, Hobsonville, Auckland",Today 7:00pm,"Quiz, Karaoke"
Quiz Night - 605 Morningside Drinkery,https://www.eventfinda.co.nz/2023/quiz-night-605-morningside-drinkery/auckland/morningside,"605 Morningside Drinkery, Morningside, Auckland",Today 7:00pm,"Quiz, Karaoke"
"Drama Queens, Dress ups make believe and musical mayhem",https://www.eventfinda.co.nz/2023/drama-queens-dress-ups-make-believe-and-musical-mayhem/auckland/western-springs,"Western Springs Hall, Western Springs, Auckland",Today 10:00am,Theatre
Somervell Op Shop,https://www.eventfinda.co.nz/2023/somervell-op-shop2/auckland/remuera,"Somervell Presbyterian Church, Remuera, Auckland",Today 9:30am,"Charity, Fundraisers"
Tea & Tales,https://www.eventfinda.co.nz/2023/tea-tales/auckland,"Central City Library, CBD, Auckland",Today 2:30pm,Family & Lifestyle
Parenting Through Challenging Times - Kumeu,https://www.eventfinda.co.nz/2023/parenting-through-challenging-times/auckland/kumeu,"Kumeu Community Hall, Kumeu, Auckland",Today 12:30pm,Family & Lifestyle
Introduction to Art History - Renaissance to Surrealist Art,https://www.eventfinda.co.nz/2023/introduction-to-art-history-renaissance-to-surrealist-art/auckland/kohimarama,"Selwyn Community Education, Kohimarama, Auckland",Today 6:30pm,Education
Leadership & Management Part 1,https://www.eventfinda.co.nz/2023/leadership-management-part-1/auckland/parnell,"The Parnell Hotel & Conference Centre, Parnell, Auckland",Today 8:30am,Business & Professional
Fun Art Classes for Beginners - Hibiscus Coast,https://www.eventfinda.co.nz/2023/fun-art-classes-for-beginners-hibiscus-coast2/auckland/whangaparaoa-peninsula,"Red Beach Surf Lifesaving Club, Whangaparaoa Peninsula, Auckland",Today 9:30am,Education
Flying Saucers Beginner Pottery Class,https://www.eventfinda.co.nz/2023/flying-saucers-beginner-pottery-class2/auckland/new-lynn,"Wood Fired Pottery School, New Lynn, Auckland",Today 6:15pm,Education
Yoga for Everyone,https://www.eventfinda.co.nz/2023/yoga-for-everyone/auckland/orewa,"Orewa Community Centre, Orewa, Auckland",Today 10:00am,Mind & Body
Stained Glass/Leadlighting Course,https://www.eventfinda.co.nz/2023/stained-glass-leadlighting-course/auckland/howick,"UXBRIDGE Arts & Culture Centre, Howick, Auckland",Today 6:30pm,Education
Wednesday Creative Drawing & Painting,https://www.eventfinda.co.nz/2023/wednesday-creative-drawing-painting/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 4:30pm,Education
Wednesday Exploring Acrylics,https://www.eventfinda.co.nz/2023/wednesday-exploring-acrylics/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 9:30am,Education
Wednesday Taking Control of Watercolour,https://www.eventfinda.co.nz/2023/wednesday-taking-control-of-watercolour/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 9:30am,Education
Wednesday Afternoon Watercolour,https://www.eventfinda.co.nz/2023/wednesday-afternoon-watercolour/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 1:00pm,Education
Wednesday Introduction to 3D Art,https://www.eventfinda.co.nz/2023/wednesday-introduction-to-3d-art/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 4:30pm,Education
Wednesday Introduction to Comic Drawing,https://www.eventfinda.co.nz/2023/wednesday-introduction-to-comic-drawing/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 4:30pm,Education
Wednesday Evenings Crystal Glass,https://www.eventfinda.co.nz/2023/wednesday-evenings-crystal-glass/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 7:00pm,Education
Wednesday Morning Cast Glass,https://www.eventfinda.co.nz/2023/wednesday-morning-cast-glass/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Today 9:30am,Education
Weekly Drama Classes (Ages 5-13) - Tim Bray Youth Theatre,https://www.eventfinda.co.nz/2023/weekly-drama-classes-ages-5-13-tim-bray-youth-theatre2/auckland/browns-bay,"East Coast Bays Community Centre, Browns Bay, Auckland",Today 4:00pm,Education
School Holiday Candle-Making,https://www.eventfinda.co.nz/2023/school-holiday-candle-making/auckland/milford,"Milford Shopping Centre, Milford, Auckland",Today 10:00am,Education
Creative Drama Classes Birkenhead - 7 to 16 years,https://www.eventfinda.co.nz/2023/creative-drama-classes-birkenhead-to-16-years/auckland/birkenhead,"TheatreWorks, Birkenhead, Auckland",Today 4:00pm,Education
Deep Peace Meditation,https://www.eventfinda.co.nz/2023/deep-peace-meditation/auckland/mt-albert,"Ferndale House, Mt Albert, Auckland",Today 10:30am,Mind & Body
Culture & Language Classes,https://www.eventfinda.co.nz/2023/culture-language-classes/auckland/parnell,"Jubilee Building - Parnell Community Centre, Parnell, Auckland",Today 6:00pm,"Ethnic, Multicultural"
"Creative Art & Craft Classes (Painting, Calligraphy & more)",https://www.eventfinda.co.nz/2023/creative-art-craft-classes-painting-calligraphy-more/auckland/parnell,"Jubilee Building - Parnell Community Centre, Parnell, Auckland",Today 1:00pm,"Ethnic, Multicultural"
"Healthy Body & Mind Classes (Pilates, Yoga, Tai Chi, Dance)",https://www.eventfinda.co.nz/2023/healthy-body-mind-classes-pilates-yoga-tai-chi-dance/auckland/parnell,"Jubilee Building - Parnell Community Centre, Parnell, Auckland",Today 9:30am,Mind & Body
