Location,From Day,To Day,Shop Day,Category,sipp code,Season ,Tether Off Shop Day,
Athens,14,14,14,SUV (Suzuki Vitara),ifmr,Low,100%,
Athens,15,21,14,SUV (Suzuki Vitara),ifmr,Low,150%,
Athens,22,29,14,SUV (Suzuki Vitara),ifmr,Low,150%,
Athens,30, max ,14,SUV (Suzuki Vitara),ifmr,Low,217%,
Athens,1,2,4,SUV (Suzuki Vitara Automatic),ifar,Low,115%,
Athens,3,3,4,SUV (Suzuki Vitara Automatic),ifar,Low,106%,
Athens,4,6,4,SUV (Suzuki Vitara Automatic),ifar,Low,100%,
Athens,7,7,7,SUV (Suzuki Vitara Automatic),ifar,Low,100%,
Athens,8,13,7,SUV (Suzuki Vitara Automatic),ifar,Low,138%,
Athens,14,14,14,SUV (Suzuki Vitara Automatic),ifar,Low,100%,
Athens,15,21,14,SUV (Suzuki Vitara Automatic),ifar,Low,100%,
Athens,22,29,14,SUV (Suzuki Vitara Automatic),ifar,Low,100%,
Athens,30, max ,14,SUV (Suzuki Vitara Automatic),ifar,Low,535%,
Athens,1,2,4,Luxury (BMW 116),ddmr,Low,180%,
Athens,3,3,4,Luxury (BMW 116),ddmr,Low,111%,
Athens,4,6,4,Luxury (BMW 116),ddmr,Low,100%,
Athens,7,7,7,Luxury (BMW 116),ddmr,Low,100%,
Athens,8,13,7,Luxury (BMW 116),ddmr,Low,102%,
Athens,14,14,14,Luxury (BMW 116),ddmr,Low,100%,
Athens,15,21,14,Luxury (BMW 116),ddmr,Low,100%,
Athens,22,29,14,Luxury (BMW 116),ddmr,Low,100%,
Athens,30, max ,14,Luxury (BMW 116),ddmr,Low,216%,
Athens,1,2,4,Luxury (BMW 216),jdmr,Low,180%,
Athens,3,3,4,Luxury (BMW 216),jdmr,Low,111%,
Athens,4,6,4,Luxury (BMW 216),jdmr,Low,100%,
Athens,7,7,7,Luxury (BMW 216),jdmr,Low,100%,
Athens,8,13,7,Luxury (BMW 216),jdmr,Low,102%,
Athens,14,14,14,Luxury (BMW 216),jdmr,Low,100%,
Athens,15,21,14,Luxury (BMW 216),jdmr,Low,100%,
Athens,22,29,14,Luxury (BMW 216),jdmr,Low,100%,
Athens,30, max ,14,Luxury (BMW 216),jdmr,Low,216%,
Athens,1,2,4,Luxury (BMW 216 Automatic),jdar,Low,180%,
Athens,3,3,4,Luxury (BMW 216 Automatic),jdar,Low,111%,
Athens,4,6,4,Luxury (BMW 216 Automatic),jdar,Low,100%,
Athens,7,7,7,Luxury (BMW 216 Automatic),jdar,Low,100%,
Athens,8,13,7,Luxury (BMW 216 Automatic),jdar,Low,102%,
Athens,14,14,14,Luxury (BMW 216 Automatic),jdar,Low,100%,
Athens,15,21,14,Luxury (BMW 216 Automatic),jdar,Low,100%,
Athens,22,29,14,Luxury (BMW 216 Automatic),jdar,Low,100%,
Athens,30, max ,14,Luxury (BMW 216 Automatic),jdar,Low,216%,
Athens,1,2,4,Luxury (BMW X1 Automatic),sfar,Low,180%,
Athens,3,3,4,Luxury (BMW X1 Automatic),sfar,Low,111%,
Athens,4,6,4,Luxury (BMW X1 Automatic),sfar,Low,100%,
Athens,7,7,7,Luxury (BMW X1 Automatic),sfar,Low,100%,
Athens,8,13,7,Luxury (BMW X1 Automatic),sfar,Low,102%,
Athens,14,14,14,Luxury (BMW X1 Automatic),sfar,Low,100%,
Athens,15,21,14,Luxury (BMW X1 Automatic),sfar,Low,100%,
Athens,22,29,14,Luxury (BMW X1 Automatic),sfar,Low,100%,
Athens,30, max ,14,Luxury (BMW X1 Automatic),sfar,Low,216%,
Athens,1,2,4,Mini Van (Fiat Doblo),fvmr,Low,118%,
Athens,3,3,4,Mini Van (Fiat Doblo),fvmr,Low,105%,
Athens,4,6,4,Mini Van (Fiat Doblo),fvmr,Low,100%,
Athens,7,7,7,Mini Van (Fiat Doblo),fvmr,Low,100%,
Athens,8,13,7,Mini Van (Fiat Doblo),fvmr,Low,103%,
Athens,14,14,14,Mini Van (Fiat Doblo),fvmr,Low,100%,
Athens,15,21,14,Mini Van (Fiat Doblo),fvmr,Low,100%,
Athens,22,29,14,Mini Van (Fiat Doblo),fvmr,Low,100%,
Athens,30, max ,14,Mini Van (Fiat Doblo),fvmr,Low,141%,
Athens,1,2,4,Mini Van (Opel Vivaro),lvmr,Low,118%,
Athens,3,3,4,Mini Van (Opel Vivaro),lvmr,Low,106%,
Athens,4,6,4,Mini Van (Opel Vivaro),lvmr,Low,100%,
Athens,7,7,7,Mini Van (Opel Vivaro),lvmr,Low,100%,
Athens,8,13,7,Mini Van (Opel Vivaro),lvmr,Low,107%,
Athens,14,14,14,Mini Van (Opel Vivaro),lvmr,Low,100%,
Athens,15,21,14,Mini Van (Opel Vivaro),lvmr,Low,100%,
Athens,22,29,14,Mini Van (Opel Vivaro),lvmr,Low,100%,
Athens,30, max ,14,Mini Van (Opel Vivaro),lvmr,Low,131%,
Athens,1,2,4,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,116%,
Athens,3,3,4,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,104%,
Athens,4,6,4,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,100%,
Athens,7,7,7,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,100%,
Athens,8,13,7,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,102%,
Athens,14,14,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,100%,
Athens,15,21,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,100%,
Athens,22,29,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,100%,
Athens,30, max ,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,Low,170%,
Athens,1,2,4,Mini Van (Mercedes Vito),pvmr,Low,129%,
Athens,3,3,4,Mini Van (Mercedes Vito),pvmr,Low,107%,
Athens,4,6,4,Mini Van (Mercedes Vito),pvmr,Low,100%,
Athens,7,7,7,Mini Van (Mercedes Vito),pvmr,Low,100%,
Athens,8,13,7,Mini Van (Mercedes Vito),pvmr,Low,100%,
Athens,14,14,14,Mini Van (Mercedes Vito),pvmr,Low,100%,
Athens,15,21,14,Mini Van (Mercedes Vito),pvmr,Low,100%,
Athens,22,29,14,Mini Van (Mercedes Vito),pvmr,Low,100%,
Athens,30, max ,14,Mini Van (Mercedes Vito),pvmr,Low,164%,
Athens,1,2,4,Mini (Suzuki Celerio),mdmr,High,167%,
Athens,3,3,4,Mini (Suzuki Celerio),mdmr,High,140%,
Athens,4,6,4,Mini (Suzuki Celerio),mdmr,High,100%,
Athens,7,7,7,Mini (Suzuki Celerio),mdmr,High,100%,
Athens,8,13,7,Mini (Suzuki Celerio),mdmr,High,102%,
Athens,14,14,14,Mini (Suzuki Celerio),mdmr,High,100%,
Athens,15,21,14,Mini (Suzuki Celerio),mdmr,High,115%,
Athens,22,29,14,Mini (Suzuki Celerio),mdmr,High,115%,
Athens,30, max ,14,Mini (Suzuki Celerio),mdmr,High,243%,
Athens,1,2,4,Economy (Fiat Panda),ecmr,High,167%,
Athens,3,3,4,Economy (Fiat Panda),ecmr,High,139%,
Athens,4,6,4,Economy (Fiat Panda),ecmr,High,100%,
Athens,7,7,7,Economy (Fiat Panda),ecmr,High,100%,
Athens,8,13,7,Economy (Fiat Panda),ecmr,High,102%,
Athens,14,14,14,Economy (Fiat Panda),ecmr,High,100%,
Athens,15,21,14,Economy (Fiat Panda),ecmr,High,115%,
Athens,22,29,14,Economy (Fiat Panda),ecmr,High,115%,
Athens,30, max ,14,Economy (Fiat Panda),ecmr,High,243%,
Athens,1,2,4,Economy (Suzuki Swift),edmr,High,167%,
Athens,3,3,4,Economy (Suzuki Swift),edmr,High,139%,
Athens,4,6,4,Economy (Suzuki Swift),edmr,High,100%,
Athens,7,7,7,Economy (Suzuki Swift),edmr,High,100%,
Athens,8,13,7,Economy (Suzuki Swift),edmr,High,102%,
Athens,14,14,14,Economy (Suzuki Swift),edmr,High,100%,
Athens,15,21,14,Economy (Suzuki Swift),edmr,High,115%,
Athens,22,29,14,Economy (Suzuki Swift),edmr,High,115%,
Athens,30, max ,14,Economy (Suzuki Swift),edmr,High,243%,
Athens,1,2,4,Economy (Suzuki Swift Automatic),edar,High,167%,
Athens,3,3,4,Economy (Suzuki Swift Automatic),edar,High,139%,
Athens,4,6,4,Economy (Suzuki Swift Automatic),edar,High,100%,
Athens,7,7,7,Economy (Suzuki Swift Automatic),edar,High,100%,
Athens,8,13,7,Economy (Suzuki Swift Automatic),edar,High,102%,
Athens,14,14,14,Economy (Suzuki Swift Automatic),edar,High,100%,
Athens,15,21,14,Economy (Suzuki Swift Automatic),edar,High,115%,
Athens,22,29,14,Economy (Suzuki Swift Automatic),edar,High,115%,
Athens,30, max ,14,Economy (Suzuki Swift Automatic),edar,High,243%,
Athens,1,2,4,Compact (Suzuki Baleno),ccmr,High,167%,
Athens,3,3,4,Compact (Suzuki Baleno),ccmr,High,139%,
Athens,4,6,4,Compact (Suzuki Baleno),ccmr,High,100%,
Athens,7,7,7,Compact (Suzuki Baleno),ccmr,High,100%,
Athens,8,13,7,Compact (Suzuki Baleno),ccmr,High,102%,
Athens,14,14,14,Compact (Suzuki Baleno),ccmr,High,100%,
Athens,15,21,14,Compact (Suzuki Baleno),ccmr,High,115%,
Athens,22,29,14,Compact (Suzuki Baleno),ccmr,High,115%,
Athens,30, max ,14,Compact (Suzuki Baleno),ccmr,High,243%,
Athens,1,2,4,Family (Fiat Tipo),cdmr,High,168%,
Athens,3,3,4,Family (Fiat Tipo),cdmr,High,140%,
Athens,4,6,4,Family (Fiat Tipo),cdmr,High,100%,
Athens,7,7,7,Family (Fiat Tipo),cdmr,High,100%,
Athens,8,13,7,Family (Fiat Tipo),cdmr,High,102%,
Athens,14,14,14,Family (Fiat Tipo),cdmr,High,100%,
Athens,15,21,14,Family (Fiat Tipo),cdmr,High,115%,
Athens,22,29,14,Family (Fiat Tipo),cdmr,High,115%,
Athens,30, max ,14,Family (Fiat Tipo),cdmr,High,243%,
Athens,1,2,4,Family (Fiat Tipo Automatic),cdar,High,168%,
Athens,3,3,4,Family (Fiat Tipo Automatic),cdar,High,140%,
Athens,4,6,4,Family (Fiat Tipo Automatic),cdar,High,100%,
Athens,7,7,7,Family (Fiat Tipo Automatic),cdar,High,100%,
Athens,8,13,7,Family (Fiat Tipo Automatic),cdar,High,102%,
Athens,14,14,14,Family (Fiat Tipo Automatic),cdar,High,100%,
