,Day_1-1,Day_2-2,Day_3-3,Day_4-4,Day_5-5,Day_6-6,Day_7-7,Day_8-8,Day_9-9,Day_10-10,Day_11-11,Day_12-12,Day_13-13,Day_14-14,Day_15-15,Day_16-16,Day_17-17,Day_18-18,Day_19-19,Day_20-20,Day_21-21,Day_22-22,Day_23-23,Day_24-24,Day_25-25,Day_26-26,Day_27-27,Day_28-30,Day_pick_up_month
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July
