BatchId,market,rentaldate,pickuplocation,locationcode,vehiclecategory,vehiclecategoryid,totalvehicles,extractdate
51860,UsNativeCampers,3/08/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/08/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,15,3/03/2023
51860,UsNativeCampers,3/08/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/08/2023,Salt Lake City,SLC,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/08/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/08/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,Smalls Campervan,6,12,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/09/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/09/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,15,3/03/2023
51860,UsNativeCampers,3/09/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/09/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/09/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/09/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/10/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/10/2023,Denver,DENVER,Smalls Campervan,6,11,3/03/2023
51860,UsNativeCampers,3/10/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/10/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/10/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/10/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,15,3/03/2023
51860,UsNativeCampers,3/10/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/10/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/10/2023,Salt Lake City,SLC,Smalls Campervan,6,5,3/03/2023
51860,UsNativeCampers,3/10/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/11/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/11/2023,Denver,DENVER,Smalls Campervan,6,10,3/03/2023
51860,UsNativeCampers,3/11/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/11/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/11/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/11/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,16,3/03/2023
51860,UsNativeCampers,3/11/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/11/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/11/2023,Salt Lake City,SLC,Smalls Campervan,6,5,3/03/2023
51860,UsNativeCampers,3/11/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/12/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/12/2023,Denver,DENVER,Smalls Campervan,6,9,3/03/2023
51860,UsNativeCampers,3/12/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/12/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/12/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/12/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,17,3/03/2023
51860,UsNativeCampers,3/12/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/12/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/12/2023,Salt Lake City,SLC,Smalls Campervan,6,5,3/03/2023
51860,UsNativeCampers,3/12/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/13/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/13/2023,Denver,DENVER,Smalls Campervan,6,8,3/03/2023
51860,UsNativeCampers,3/13/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/13/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/13/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/13/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,17,3/03/2023
51860,UsNativeCampers,3/13/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/13/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/13/2023,Salt Lake City,SLC,Smalls Campervan,6,6,3/03/2023
51860,UsNativeCampers,3/13/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/14/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/14/2023,Denver,DENVER,Smalls Campervan,6,8,3/03/2023
51860,UsNativeCampers,3/14/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/14/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/14/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/14/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,17,3/03/2023
51860,UsNativeCampers,3/14/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/14/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/14/2023,Salt Lake City,SLC,Smalls Campervan,6,6,3/03/2023
51860,UsNativeCampers,3/14/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/15/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/15/2023,Denver,DENVER,Smalls Campervan,6,7,3/03/2023
51860,UsNativeCampers,3/15/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/15/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/15/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,13,3/03/2023
51860,UsNativeCampers,3/15/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,18,3/03/2023
