car_class,price_change,from_day,to_day,pick_up_month
B-Economy Manual-ECMR (Mazda2),40,2,2,June
C-Compact Manual-CDMR (Nissan Tiida),40,2,2,June
N-MINI+Automatic-MDAR (Chevrolet Spark),40,2,2,June
H-Economy Automatic-EDAR (Nissan Micra),40,2,2,June
F-Compact Automatic-CDAR (Nissan Tiida),40,2,2,June
A-Mini Manual-MDMR (Citroen C1),40,2,2,July
B-Economy Manual-ECMR (Mazda2),40,2,2,July
C-Compact Manual-CDMR (Nissan Tiida),40,2,2,July
N-MINI+Automatic-MDAR (Chevrolet Spark),40,2,2,July
H-Economy Automatic-EDAR (Nissan Micra),40,2,2,July
F-Compact Automatic-CDAR (Nissan Tiida),40,2,2,July
A-Mini Manual-MDMR (Citroen C1),40,2,2,August
B-Economy Manual-ECMR (Mazda2),40,2,2,August
C-Compact Manual-CDMR (Nissan Tiida),40,2,2,August
N-MINI+Automatic-MDAR (Chevrolet Spark),40,2,2,August
H-Economy Automatic-EDAR (Nissan Micra),40,2,2,August
F-Compact Automatic-CDAR (Nissan Tiida),40,2,2,August
A-Mini Manual-MDMR (Citroen C1),40,2,2,September
B-Economy Manual-ECMR (Mazda2),40,2,2,September
C-Compact Manual-CDMR (Nissan Tiida),40,2,2,September
N-MINI+Automatic-MDAR (Chevrolet Spark),40,2,2,September
H-Economy Automatic-EDAR (Nissan Micra),40,2,2,September
F-Compact Automatic-CDAR (Nissan Tiida),40,2,2,September
A-Mini Manual-MDMR (Citroen C1),40,2,2,October
B-Economy Manual-ECMR (Mazda2),40,2,2,October
C-Compact Manual-CDMR (Nissan Tiida),40,2,2,October
N-MINI+Automatic-MDAR (Chevrolet Spark),40,2,2,October
H-Economy Automatic-EDAR (Nissan Micra),40,2,2,October
F-Compact Automatic-CDAR (Nissan Tiida),40,2,2,October
A-Mini Manual-MDMR (Citroen C1),40,2,2,November
B-Economy Manual-ECMR (Mazda2),40,2,2,November
C-Compact Manual-CDMR (Nissan Tiida),40,2,2,November
N-MINI+Automatic-MDAR (Chevrolet Spark),40,2,2,November
H-Economy Automatic-EDAR (Nissan Micra),40,2,2,November
F-Compact Automatic-CDAR (Nissan Tiida),40,2,2,November
A-Mini Manual-MDMR (Citroen C1),40,2,2,December
B-Economy Manual-ECMR (Mazda2),40,2,2,December
C-Compact Manual-CDMR (Nissan Tiida),40,2,2,December
N-MINI+Automatic-MDAR (Chevrolet Spark),40,2,2,December
H-Economy Automatic-EDAR (Nissan Micra),40,2,2,December
F-Compact Automatic-CDAR (Nissan Tiida),40,2,2,December
A-Mini Manual-MDMR (Citroen C1),0,3,3,January
B-Economy Manual-ECMR (Mazda2),0,3,3,January
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,January
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,January
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,January
F-Compact Automatic-CDAR (Nissan Tiida),0,3,3,January
A-Mini Manual-MDMR (Citroen C1),0,3,3,February
B-Economy Manual-ECMR (Mazda2),0,3,3,February
C-Compact Manual-CDMR (Nissan Tiida),0,3,3,February
N-MINI+Automatic-MDAR (Chevrolet Spark),0,3,3,February
H-Economy Automatic-EDAR (Nissan Micra),0,3,3,February
