car_class,price_change,from_day,to_day,pick_up_month
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,March
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,March
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,March
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,March
A-Mini Manual-MDMR (Citroen C1),0,7,7,April
B-Economy Manual-ECMR (Mazda2),0,7,7,April
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,April
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,April
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,April
A-Mini Manual-MDMR (Citroen C1),0,7,7,May
B-Economy Manual-ECMR (Mazda2),0,7,7,May
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,May
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,May
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,May
A-Mini Manual-MDMR (Citroen C1),0,7,7,June
B-Economy Manual-ECMR (Mazda2),0,7,7,June
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,June
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,June
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,June
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,June
A-Mini Manual-MDMR (Citroen C1),0,7,7,July
B-Economy Manual-ECMR (Mazda2),0,7,7,July
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,July
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,July
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,July
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,July
A-Mini Manual-MDMR (Citroen C1),0,7,7,August
B-Economy Manual-ECMR (Mazda2),0,7,7,August
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,August
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,August
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,August
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,August
A-Mini Manual-MDMR (Citroen C1),0,7,7,September
B-Economy Manual-ECMR (Mazda2),0,7,7,September
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,September
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,September
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,September
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,September
A-Mini Manual-MDMR (Citroen C1),0,7,7,October
B-Economy Manual-ECMR (Mazda2),0,7,7,October
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,October
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,October
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,October
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,October
A-Mini Manual-MDMR (Citroen C1),0,7,7,November
B-Economy Manual-ECMR (Mazda2),0,7,7,November
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,November
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,November
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,November
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,November
A-Mini Manual-MDMR (Citroen C1),0,7,7,December
B-Economy Manual-ECMR (Mazda2),0,7,7,December
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,December
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,December
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,December
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,December
A-Mini Manual-MDMR (Citroen C1),-1,8,8,January
B-Economy Manual-ECMR (Mazda2),-1,8,8,January
C-Compact Manual-CDMR (Nissan Tiida),-1,8,8,January
N-MINI+Automatic-MDAR (Chevrolet Spark),-1,8,8,January
H-Economy Automatic-EDAR (Nissan Micra),-1,8,8,January
F-Compact Automatic-CDAR (Nissan Tiida),-1,8,8,January
A-Mini Manual-MDMR (Citroen C1),-1,8,8,February
B-Economy Manual-ECMR (Mazda2),-1,8,8,February
C-Compact Manual-CDMR (Nissan Tiida),-1,8,8,February
N-MINI+Automatic-MDAR (Chevrolet Spark),-1,8,8,February
H-Economy Automatic-EDAR (Nissan Micra),-1,8,8,February
F-Compact Automatic-CDAR (Nissan Tiida),-1,8,8,February
A-Mini Manual-MDMR (Citroen C1),-1,8,8,March
B-Economy Manual-ECMR (Mazda2),-1,8,8,March
C-Compact Manual-CDMR (Nissan Tiida),-1,8,8,March
N-MINI+Automatic-MDAR (Chevrolet Spark),-1,8,8,March
H-Economy Automatic-EDAR (Nissan Micra),-1,8,8,March
F-Compact Automatic-CDAR (Nissan Tiida),-1,8,8,March
A-Mini Manual-MDMR (Citroen C1),0,8,8,April
B-Economy Manual-ECMR (Mazda2),0,8,8,April
C-Compact Manual-CDMR (Nissan Tiida),0,8,8,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,8,8,April
H-Economy Automatic-EDAR (Nissan Micra),0,8,8,April
F-Compact Automatic-CDAR (Nissan Tiida),0,8,8,April
A-Mini Manual-MDMR (Citroen C1),0,8,8,May
B-Economy Manual-ECMR (Mazda2),0,8,8,May
C-Compact Manual-CDMR (Nissan Tiida),0,8,8,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,8,8,May
H-Economy Automatic-EDAR (Nissan Micra),0,8,8,May
F-Compact Automatic-CDAR (Nissan Tiida),0,8,8,May
A-Mini Manual-MDMR (Citroen C1),0,8,8,June
B-Economy Manual-ECMR (Mazda2),0,8,8,June
C-Compact Manual-CDMR (Nissan Tiida),0,8,8,June
N-MINI+Automatic-MDAR (Chevrolet Spark),0,8,8,June
H-Economy Automatic-EDAR (Nissan Micra),0,8,8,June
F-Compact Automatic-CDAR (Nissan Tiida),0,8,8,June
A-Mini Manual-MDMR (Citroen C1),0,8,8,July
B-Economy Manual-ECMR (Mazda2),0,8,8,July
C-Compact Manual-CDMR (Nissan Tiida),0,8,8,July
N-MINI+Automatic-MDAR (Chevrolet Spark),0,8,8,July
H-Economy Automatic-EDAR (Nissan Micra),0,8,8,July
F-Compact Automatic-CDAR (Nissan Tiida),0,8,8,July
A-Mini Manual-MDMR (Citroen C1),0,8,8,August
B-Economy Manual-ECMR (Mazda2),0,8,8,August
C-Compact Manual-CDMR (Nissan Tiida),0,8,8,August
N-MINI+Automatic-MDAR (Chevrolet Spark),0,8,8,August
H-Economy Automatic-EDAR (Nissan Micra),0,8,8,August
F-Compact Automatic-CDAR (Nissan Tiida),0,8,8,August
A-Mini Manual-MDMR (Citroen C1),0,8,8,September
B-Economy Manual-ECMR (Mazda2),0,8,8,September
C-Compact Manual-CDMR (Nissan Tiida),0,8,8,September
N-MINI+Automatic-MDAR (Chevrolet Spark),0,8,8,September
H-Economy Automatic-EDAR (Nissan Micra),0,8,8,September
F-Compact Automatic-CDAR (Nissan Tiida),0,8,8,September
A-Mini Manual-MDMR (Citroen C1),0,8,8,October
B-Economy Manual-ECMR (Mazda2),0,8,8,October
C-Compact Manual-CDMR (Nissan Tiida),0,8,8,October
N-MINI+Automatic-MDAR (Chevrolet Spark),0,8,8,October
H-Economy Automatic-EDAR (Nissan Micra),0,8,8,October
F-Compact Automatic-CDAR (Nissan Tiida),0,8,8,October
A-Mini Manual-MDMR (Citroen C1),-1,8,8,November
B-Economy Manual-ECMR (Mazda2),-1,8,8,November
C-Compact Manual-CDMR (Nissan Tiida),-1,8,8,November
N-MINI+Automatic-MDAR (Chevrolet Spark),-1,8,8,November
H-Economy Automatic-EDAR (Nissan Micra),-1,8,8,November
F-Compact Automatic-CDAR (Nissan Tiida),-1,8,8,November
A-Mini Manual-MDMR (Citroen C1),-1,8,8,December
B-Economy Manual-ECMR (Mazda2),-1,8,8,December
C-Compact Manual-CDMR (Nissan Tiida),-1,8,8,December
N-MINI+Automatic-MDAR (Chevrolet Spark),-1,8,8,December
H-Economy Automatic-EDAR (Nissan Micra),-1,8,8,December
F-Compact Automatic-CDAR (Nissan Tiida),-1,8,8,December
A-Mini Manual-MDMR (Citroen C1),-2,9,9,January
B-Economy Manual-ECMR (Mazda2),-2,9,9,January
C-Compact Manual-CDMR (Nissan Tiida),-2,9,9,January
N-MINI+Automatic-MDAR (Chevrolet Spark),-2,9,9,January
H-Economy Automatic-EDAR (Nissan Micra),-2,9,9,January
F-Compact Automatic-CDAR (Nissan Tiida),-2,9,9,January
A-Mini Manual-MDMR (Citroen C1),-2,9,9,February
B-Economy Manual-ECMR (Mazda2),-2,9,9,February
C-Compact Manual-CDMR (Nissan Tiida),-2,9,9,February
N-MINI+Automatic-MDAR (Chevrolet Spark),-2,9,9,February
H-Economy Automatic-EDAR (Nissan Micra),-2,9,9,February
F-Compact Automatic-CDAR (Nissan Tiida),-2,9,9,February
A-Mini Manual-MDMR (Citroen C1),-2,9,9,March
B-Economy Manual-ECMR (Mazda2),-2,9,9,March
C-Compact Manual-CDMR (Nissan Tiida),-2,9,9,March
N-MINI+Automatic-MDAR (Chevrolet Spark),-2,9,9,March
H-Economy Automatic-EDAR (Nissan Micra),-2,9,9,March
F-Compact Automatic-CDAR (Nissan Tiida),-2,9,9,March
A-Mini Manual-MDMR (Citroen C1),0,9,9,April
B-Economy Manual-ECMR (Mazda2),0,9,9,April
C-Compact Manual-CDMR (Nissan Tiida),0,9,9,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,9,9,April
H-Economy Automatic-EDAR (Nissan Micra),0,9,9,April
F-Compact Automatic-CDAR (Nissan Tiida),0,9,9,April
A-Mini Manual-MDMR (Citroen C1),0,9,9,May
B-Economy Manual-ECMR (Mazda2),0,9,9,May
C-Compact Manual-CDMR (Nissan Tiida),0,9,9,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,9,9,May
H-Economy Automatic-EDAR (Nissan Micra),0,9,9,May
F-Compact Automatic-CDAR (Nissan Tiida),0,9,9,May
A-Mini Manual-MDMR (Citroen C1),0,9,9,June
B-Economy Manual-ECMR (Mazda2),0,9,9,June
C-Compact Manual-CDMR (Nissan Tiida),0,9,9,June
N-MINI+Automatic-MDAR (Chevrolet Spark),0,9,9,June
H-Economy Automatic-EDAR (Nissan Micra),0,9,9,June
F-Compact Automatic-CDAR (Nissan Tiida),0,9,9,June
A-Mini Manual-MDMR (Citroen C1),0,9,9,July
B-Economy Manual-ECMR (Mazda2),0,9,9,July
C-Compact Manual-CDMR (Nissan Tiida),0,9,9,July
N-MINI+Automatic-MDAR (Chevrolet Spark),0,9,9,July
H-Economy Automatic-EDAR (Nissan Micra),0,9,9,July
F-Compact Automatic-CDAR (Nissan Tiida),0,9,9,July
A-Mini Manual-MDMR (Citroen C1),0,9,9,August
B-Economy Manual-ECMR (Mazda2),0,9,9,August
C-Compact Manual-CDMR (Nissan Tiida),0,9,9,August
N-MINI+Automatic-MDAR (Chevrolet Spark),0,9,9,August
H-Economy Automatic-EDAR (Nissan Micra),0,9,9,August
F-Compact Automatic-CDAR (Nissan Tiida),0,9,9,August
A-Mini Manual-MDMR (Citroen C1),0,9,9,September
B-Economy Manual-ECMR (Mazda2),0,9,9,September
C-Compact Manual-CDMR (Nissan Tiida),0,9,9,September
N-MINI+Automatic-MDAR (Chevrolet Spark),0,9,9,September
H-Economy Automatic-EDAR (Nissan Micra),0,9,9,September
F-Compact Automatic-CDAR (Nissan Tiida),0,9,9,September
A-Mini Manual-MDMR (Citroen C1),0,9,9,October
B-Economy Manual-ECMR (Mazda2),0,9,9,October
C-Compact Manual-CDMR (Nissan Tiida),0,9,9,October
N-MINI+Automatic-MDAR (Chevrolet Spark),0,9,9,October
H-Economy Automatic-EDAR (Nissan Micra),0,9,9,October
F-Compact Automatic-CDAR (Nissan Tiida),0,9,9,October
A-Mini Manual-MDMR (Citroen C1),-2,9,9,November
B-Economy Manual-ECMR (Mazda2),-2,9,9,November
C-Compact Manual-CDMR (Nissan Tiida),-2,9,9,November
N-MINI+Automatic-MDAR (Chevrolet Spark),-2,9,9,November
H-Economy Automatic-EDAR (Nissan Micra),-2,9,9,November
F-Compact Automatic-CDAR (Nissan Tiida),-2,9,9,November
A-Mini Manual-MDMR (Citroen C1),-2,9,9,December
B-Economy Manual-ECMR (Mazda2),-2,9,9,December
C-Compact Manual-CDMR (Nissan Tiida),-2,9,9,December
N-MINI+Automatic-MDAR (Chevrolet Spark),-2,9,9,December
H-Economy Automatic-EDAR (Nissan Micra),-2,9,9,December
F-Compact Automatic-CDAR (Nissan Tiida),-2,9,9,December
A-Mini Manual-MDMR (Citroen C1),-3,10,10,January
B-Economy Manual-ECMR (Mazda2),-3,10,10,January
C-Compact Manual-CDMR (Nissan Tiida),-3,10,10,January
N-MINI+Automatic-MDAR (Chevrolet Spark),-3,10,10,January
H-Economy Automatic-EDAR (Nissan Micra),-3,10,10,January
F-Compact Automatic-CDAR (Nissan Tiida),-3,10,10,January
A-Mini Manual-MDMR (Citroen C1),-3,10,10,February
B-Economy Manual-ECMR (Mazda2),-3,10,10,February
C-Compact Manual-CDMR (Nissan Tiida),-3,10,10,February
N-MINI+Automatic-MDAR (Chevrolet Spark),-3,10,10,February
H-Economy Automatic-EDAR (Nissan Micra),-3,10,10,February
F-Compact Automatic-CDAR (Nissan Tiida),-3,10,10,February
A-Mini Manual-MDMR (Citroen C1),-3,10,10,March
B-Economy Manual-ECMR (Mazda2),-3,10,10,March
C-Compact Manual-CDMR (Nissan Tiida),-3,10,10,March
N-MINI+Automatic-MDAR (Chevrolet Spark),-3,10,10,March
H-Economy Automatic-EDAR (Nissan Micra),-3,10,10,March
F-Compact Automatic-CDAR (Nissan Tiida),-3,10,10,March
A-Mini Manual-MDMR (Citroen C1),0,10,10,April
B-Economy Manual-ECMR (Mazda2),0,10,10,April
C-Compact Manual-CDMR (Nissan Tiida),0,10,10,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,10,10,April
H-Economy Automatic-EDAR (Nissan Micra),0,10,10,April
F-Compact Automatic-CDAR (Nissan Tiida),0,10,10,April
A-Mini Manual-MDMR (Citroen C1),0,10,10,May
B-Economy Manual-ECMR (Mazda2),0,10,10,May
C-Compact Manual-CDMR (Nissan Tiida),0,10,10,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,10,10,May
H-Economy Automatic-EDAR (Nissan Micra),0,10,10,May
F-Compact Automatic-CDAR (Nissan Tiida),0,10,10,May
A-Mini Manual-MDMR (Citroen C1),0,10,10,June
B-Economy Manual-ECMR (Mazda2),0,10,10,June
C-Compact Manual-CDMR (Nissan Tiida),0,10,10,June
N-MINI+Automatic-MDAR (Chevrolet Spark),0,10,10,June
H-Economy Automatic-EDAR (Nissan Micra),0,10,10,June
F-Compact Automatic-CDAR (Nissan Tiida),0,10,10,June
A-Mini Manual-MDMR (Citroen C1),0,10,10,July
B-Economy Manual-ECMR (Mazda2),0,10,10,July
C-Compact Manual-CDMR (Nissan Tiida),0,10,10,July
N-MINI+Automatic-MDAR (Chevrolet Spark),0,10,10,July
H-Economy Automatic-EDAR (Nissan Micra),0,10,10,July
F-Compact Automatic-CDAR (Nissan Tiida),0,10,10,July
A-Mini Manual-MDMR (Citroen C1),0,10,10,August
B-Economy Manual-ECMR (Mazda2),0,10,10,August
C-Compact Manual-CDMR (Nissan Tiida),0,10,10,August
N-MINI+Automatic-MDAR (Chevrolet Spark),0,10,10,August
H-Economy Automatic-EDAR (Nissan Micra),0,10,10,August
F-Compact Automatic-CDAR (Nissan Tiida),0,10,10,August
A-Mini Manual-MDMR (Citroen C1),0,10,10,September
B-Economy Manual-ECMR (Mazda2),0,10,10,September
C-Compact Manual-CDMR (Nissan Tiida),0,10,10,September
N-MINI+Automatic-MDAR (Chevrolet Spark),0,10,10,September
H-Economy Automatic-EDAR (Nissan Micra),0,10,10,September
F-Compact Automatic-CDAR (Nissan Tiida),0,10,10,September
A-Mini Manual-MDMR (Citroen C1),0,10,10,October
B-Economy Manual-ECMR (Mazda2),0,10,10,October
C-Compact Manual-CDMR (Nissan Tiida),0,10,10,October
N-MINI+Automatic-MDAR (Chevrolet Spark),0,10,10,October
H-Economy Automatic-EDAR (Nissan Micra),0,10,10,October
F-Compact Automatic-CDAR (Nissan Tiida),0,10,10,October
A-Mini Manual-MDMR (Citroen C1),-3,10,10,November
B-Economy Manual-ECMR (Mazda2),-3,10,10,November
C-Compact Manual-CDMR (Nissan Tiida),-3,10,10,November
N-MINI+Automatic-MDAR (Chevrolet Spark),-3,10,10,November
H-Economy Automatic-EDAR (Nissan Micra),-3,10,10,November
F-Compact Automatic-CDAR (Nissan Tiida),-3,10,10,November
A-Mini Manual-MDMR (Citroen C1),-3,10,10,December
B-Economy Manual-ECMR (Mazda2),-3,10,10,December
C-Compact Manual-CDMR (Nissan Tiida),-3,10,10,December
N-MINI+Automatic-MDAR (Chevrolet Spark),-3,10,10,December
H-Economy Automatic-EDAR (Nissan Micra),-3,10,10,December
F-Compact Automatic-CDAR (Nissan Tiida),-3,10,10,December
A-Mini Manual-MDMR (Citroen C1),-4,11,11,January
B-Economy Manual-ECMR (Mazda2),-4,11,11,January
C-Compact Manual-CDMR (Nissan Tiida),-4,11,11,January
N-MINI+Automatic-MDAR (Chevrolet Spark),-4,11,11,January
H-Economy Automatic-EDAR (Nissan Micra),-4,11,11,January
F-Compact Automatic-CDAR (Nissan Tiida),-4,11,11,January
A-Mini Manual-MDMR (Citroen C1),-4,11,11,February
B-Economy Manual-ECMR (Mazda2),-4,11,11,February
C-Compact Manual-CDMR (Nissan Tiida),-4,11,11,February
N-MINI+Automatic-MDAR (Chevrolet Spark),-4,11,11,February
H-Economy Automatic-EDAR (Nissan Micra),-4,11,11,February
F-Compact Automatic-CDAR (Nissan Tiida),-4,11,11,February
A-Mini Manual-MDMR (Citroen C1),-4,11,11,March
B-Economy Manual-ECMR (Mazda2),-4,11,11,March
C-Compact Manual-CDMR (Nissan Tiida),-4,11,11,March
N-MINI+Automatic-MDAR (Chevrolet Spark),-4,11,11,March
H-Economy Automatic-EDAR (Nissan Micra),-4,11,11,March
F-Compact Automatic-CDAR (Nissan Tiida),-4,11,11,March
A-Mini Manual-MDMR (Citroen C1),0,11,11,April
B-Economy Manual-ECMR (Mazda2),0,11,11,April
C-Compact Manual-CDMR (Nissan Tiida),0,11,11,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,11,11,April
H-Economy Automatic-EDAR (Nissan Micra),0,11,11,April
F-Compact Automatic-CDAR (Nissan Tiida),0,11,11,April
A-Mini Manual-MDMR (Citroen C1),0,11,11,May
B-Economy Manual-ECMR (Mazda2),0,11,11,May
C-Compact Manual-CDMR (Nissan Tiida),0,11,11,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,11,11,May
H-Economy Automatic-EDAR (Nissan Micra),0,11,11,May
F-Compact Automatic-CDAR (Nissan Tiida),0,11,11,May
A-Mini Manual-MDMR (Citroen C1),0,11,11,June
B-Economy Manual-ECMR (Mazda2),0,11,11,June
C-Compact Manual-CDMR (Nissan Tiida),0,11,11,June
N-MINI+Automatic-MDAR (Chevrolet Spark),0,11,11,June
H-Economy Automatic-EDAR (Nissan Micra),0,11,11,June
F-Compact Automatic-CDAR (Nissan Tiida),0,11,11,June
A-Mini Manual-MDMR (Citroen C1),0,11,11,July
B-Economy Manual-ECMR (Mazda2),0,11,11,July
C-Compact Manual-CDMR (Nissan Tiida),0,11,11,July
N-MINI+Automatic-MDAR (Chevrolet Spark),0,11,11,July
H-Economy Automatic-EDAR (Nissan Micra),0,11,11,July
F-Compact Automatic-CDAR (Nissan Tiida),0,11,11,July
A-Mini Manual-MDMR (Citroen C1),0,11,11,August
B-Economy Manual-ECMR (Mazda2),0,11,11,August
C-Compact Manual-CDMR (Nissan Tiida),0,11,11,August
N-MINI+Automatic-MDAR (Chevrolet Spark),0,11,11,August
H-Economy Automatic-EDAR (Nissan Micra),0,11,11,August
F-Compact Automatic-CDAR (Nissan Tiida),0,11,11,August
A-Mini Manual-MDMR (Citroen C1),0,11,11,September
B-Economy Manual-ECMR (Mazda2),0,11,11,September
C-Compact Manual-CDMR (Nissan Tiida),0,11,11,September
N-MINI+Automatic-MDAR (Chevrolet Spark),0,11,11,September
H-Economy Automatic-EDAR (Nissan Micra),0,11,11,September
F-Compact Automatic-CDAR (Nissan Tiida),0,11,11,September
A-Mini Manual-MDMR (Citroen C1),0,11,11,October
B-Economy Manual-ECMR (Mazda2),0,11,11,October
C-Compact Manual-CDMR (Nissan Tiida),0,11,11,October
N-MINI+Automatic-MDAR (Chevrolet Spark),0,11,11,October
H-Economy Automatic-EDAR (Nissan Micra),0,11,11,October
F-Compact Automatic-CDAR (Nissan Tiida),0,11,11,October
A-Mini Manual-MDMR (Citroen C1),-4,11,11,November
B-Economy Manual-ECMR (Mazda2),-4,11,11,November
C-Compact Manual-CDMR (Nissan Tiida),-4,11,11,November
N-MINI+Automatic-MDAR (Chevrolet Spark),-4,11,11,November
H-Economy Automatic-EDAR (Nissan Micra),-4,11,11,November
F-Compact Automatic-CDAR (Nissan Tiida),-4,11,11,November
A-Mini Manual-MDMR (Citroen C1),-4,11,11,December
B-Economy Manual-ECMR (Mazda2),-4,11,11,December
C-Compact Manual-CDMR (Nissan Tiida),-4,11,11,December
N-MINI+Automatic-MDAR (Chevrolet Spark),-4,11,11,December
H-Economy Automatic-EDAR (Nissan Micra),-4,11,11,December
F-Compact Automatic-CDAR (Nissan Tiida),-4,11,11,December
A-Mini Manual-MDMR (Citroen C1),-5,12,12,January
B-Economy Manual-ECMR (Mazda2),-5,12,12,January
C-Compact Manual-CDMR (Nissan Tiida),-5,12,12,January
N-MINI+Automatic-MDAR (Chevrolet Spark),-5,12,12,January
H-Economy Automatic-EDAR (Nissan Micra),-5,12,12,January
F-Compact Automatic-CDAR (Nissan Tiida),-5,12,12,January
A-Mini Manual-MDMR (Citroen C1),-5,12,12,February
B-Economy Manual-ECMR (Mazda2),-5,12,12,February
C-Compact Manual-CDMR (Nissan Tiida),-5,12,12,February
N-MINI+Automatic-MDAR (Chevrolet Spark),-5,12,12,February
H-Economy Automatic-EDAR (Nissan Micra),-5,12,12,February
F-Compact Automatic-CDAR (Nissan Tiida),-5,12,12,February
A-Mini Manual-MDMR (Citroen C1),-5,12,12,March
B-Economy Manual-ECMR (Mazda2),-5,12,12,March
C-Compact Manual-CDMR (Nissan Tiida),-5,12,12,March
N-MINI+Automatic-MDAR (Chevrolet Spark),-5,12,12,March
H-Economy Automatic-EDAR (Nissan Micra),-5,12,12,March
F-Compact Automatic-CDAR (Nissan Tiida),-5,12,12,March
A-Mini Manual-MDMR (Citroen C1),0,12,12,April
B-Economy Manual-ECMR (Mazda2),0,12,12,April
C-Compact Manual-CDMR (Nissan Tiida),0,12,12,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,12,12,April
H-Economy Automatic-EDAR (Nissan Micra),0,12,12,April
F-Compact Automatic-CDAR (Nissan Tiida),0,12,12,April
A-Mini Manual-MDMR (Citroen C1),0,12,12,May
B-Economy Manual-ECMR (Mazda2),0,12,12,May
C-Compact Manual-CDMR (Nissan Tiida),0,12,12,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,12,12,May
H-Economy Automatic-EDAR (Nissan Micra),0,12,12,May
F-Compact Automatic-CDAR (Nissan Tiida),0,12,12,May
A-Mini Manual-MDMR (Citroen C1),0,12,12,June
B-Economy Manual-ECMR (Mazda2),0,12,12,June
C-Compact Manual-CDMR (Nissan Tiida),0,12,12,June
N-MINI+Automatic-MDAR (Chevrolet Spark),0,12,12,June
H-Economy Automatic-EDAR (Nissan Micra),0,12,12,June
F-Compact Automatic-CDAR (Nissan Tiida),0,12,12,June
A-Mini Manual-MDMR (Citroen C1),0,12,12,July
B-Economy Manual-ECMR (Mazda2),0,12,12,July
C-Compact Manual-CDMR (Nissan Tiida),0,12,12,July
N-MINI+Automatic-MDAR (Chevrolet Spark),0,12,12,July
H-Economy Automatic-EDAR (Nissan Micra),0,12,12,July
F-Compact Automatic-CDAR (Nissan Tiida),0,12,12,July
A-Mini Manual-MDMR (Citroen C1),0,12,12,August
B-Economy Manual-ECMR (Mazda2),0,12,12,August
C-Compact Manual-CDMR (Nissan Tiida),0,12,12,August
N-MINI+Automatic-MDAR (Chevrolet Spark),0,12,12,August
H-Economy Automatic-EDAR (Nissan Micra),0,12,12,August
F-Compact Automatic-CDAR (Nissan Tiida),0,12,12,August
A-Mini Manual-MDMR (Citroen C1),0,12,12,September
B-Economy Manual-ECMR (Mazda2),0,12,12,September
C-Compact Manual-CDMR (Nissan Tiida),0,12,12,September
N-MINI+Automatic-MDAR (Chevrolet Spark),0,12,12,September
H-Economy Automatic-EDAR (Nissan Micra),0,12,12,September
F-Compact Automatic-CDAR (Nissan Tiida),0,12,12,September
A-Mini Manual-MDMR (Citroen C1),0,12,12,October
B-Economy Manual-ECMR (Mazda2),0,12,12,October
C-Compact Manual-CDMR (Nissan Tiida),0,12,12,October
N-MINI+Automatic-MDAR (Chevrolet Spark),0,12,12,October
H-Economy Automatic-EDAR (Nissan Micra),0,12,12,October
F-Compact Automatic-CDAR (Nissan Tiida),0,12,12,October
A-Mini Manual-MDMR (Citroen C1),-5,12,12,November
B-Economy Manual-ECMR (Mazda2),-5,12,12,November
C-Compact Manual-CDMR (Nissan Tiida),-5,12,12,November
N-MINI+Automatic-MDAR (Chevrolet Spark),-5,12,12,November
H-Economy Automatic-EDAR (Nissan Micra),-5,12,12,November
F-Compact Automatic-CDAR (Nissan Tiida),-5,12,12,November
A-Mini Manual-MDMR (Citroen C1),-5,12,12,December
B-Economy Manual-ECMR (Mazda2),-5,12,12,December
C-Compact Manual-CDMR (Nissan Tiida),-5,12,12,December
N-MINI+Automatic-MDAR (Chevrolet Spark),-5,12,12,December
H-Economy Automatic-EDAR (Nissan Micra),-5,12,12,December
F-Compact Automatic-CDAR (Nissan Tiida),-5,12,12,December
A-Mini Manual-MDMR (Citroen C1),0,13,13,January
B-Economy Manual-ECMR (Mazda2),0,13,13,January
C-Compact Manual-CDMR (Nissan Tiida),0,13,13,January
N-MINI+Automatic-MDAR (Chevrolet Spark),0,13,13,January
H-Economy Automatic-EDAR (Nissan Micra),0,13,13,January
F-Compact Automatic-CDAR (Nissan Tiida),0,13,13,January
A-Mini Manual-MDMR (Citroen C1),0,13,13,February
B-Economy Manual-ECMR (Mazda2),0,13,13,February
C-Compact Manual-CDMR (Nissan Tiida),0,13,13,February
N-MINI+Automatic-MDAR (Chevrolet Spark),0,13,13,February
H-Economy Automatic-EDAR (Nissan Micra),0,13,13,February
F-Compact Automatic-CDAR (Nissan Tiida),0,13,13,February
A-Mini Manual-MDMR (Citroen C1),0,13,13,March
B-Economy Manual-ECMR (Mazda2),0,13,13,March
C-Compact Manual-CDMR (Nissan Tiida),0,13,13,March
N-MINI+Automatic-MDAR (Chevrolet Spark),0,13,13,March
H-Economy Automatic-EDAR (Nissan Micra),0,13,13,March
F-Compact Automatic-CDAR (Nissan Tiida),0,13,13,March
A-Mini Manual-MDMR (Citroen C1),0,13,13,April
B-Economy Manual-ECMR (Mazda2),0,13,13,April
C-Compact Manual-CDMR (Nissan Tiida),0,13,13,April
N-MINI+Automatic-MDAR (Chevrolet Spark),0,13,13,April
H-Economy Automatic-EDAR (Nissan Micra),0,13,13,April
F-Compact Automatic-CDAR (Nissan Tiida),0,13,13,April
A-Mini Manual-MDMR (Citroen C1),0,13,13,May
B-Economy Manual-ECMR (Mazda2),0,13,13,May
C-Compact Manual-CDMR (Nissan Tiida),0,13,13,May
N-MINI+Automatic-MDAR (Chevrolet Spark),0,13,13,May
H-Economy Automatic-EDAR (Nissan Micra),0,13,13,May
F-Compact Automatic-CDAR (Nissan Tiida),0,13,13,May
